GEG2033-002,대학기초영어,전체,3,교양선택,Pass/Fail,화-목,4_6-7_9,60주년-608,허영옥
GEG2033-003,대학기초영어,전체,3,교양선택,Pass/Fail,화-목,7_9-1_3,60주년-608,허영옥
GEG2033-004,대학기초영어,전체,3,교양선택,Pass/Fail,수-금,4_6-4_6,60주년-508,최재유
GEG2033-005,대학기초영어,전체,3,교양선택,Pass/Fail,월-수,7_9-7_9,60주년-509,이지영
GEG2037-001,초급 스페인어,전체,3,교양선택,상대평가,화-목,1_3-1_3,60주년-712,강성식
GEG2037-002,초급 스페인어,전체,3,교양선택,상대평가,화-목,4_6-4_6,5남332 9-203,강성식
GEG2041-001,초급일본어,전체,3,교양선택,상대평가,금,7_12,5남518,이현주
GEG2041-002,초급일본어,전체,3,교양선택,상대평가,목,13_18,,박용만
GEG2041-003,초급일본어,전체,3,교양선택,상대평가,화,10_15,5남517,송수진
GEG2042-001,초급 프랑스어,전체,3,교양선택,상대평가,월-화,4_6-4_6,60주년-612,정일영
GEG2046-001,외국인전용 한자와 한국어,전체,3,교양선택,상대평가,금,13_18,5남521,이영태
GEG2047-001,외국인전용 한국어 읽기와 쓰기,전체,3,교양선택,상대평가,월,1_6,5남534,조성순
GEG2047-002,외국인전용 한국어 읽기와 쓰기,전체,3,교양선택,상대평가,월,10_15,60주년-710,이지애
GEG2048-001,외국인전용 한국어 발표와 말하기,전체,3,교양선택,절대평가,화,1_6,60주년-710,김수영
GEG2049-001,외국인전용 대중매체 한국어,전체,3,교양선택,상대평가,목,4_9,서-308,이혜경
GEG2050-001,외국인전용 한국의 이야기와 문학,전체,3,교양선택,상대평가,화-수,4_6-4_6,5남401 5남521,윤진현
GEG2051-001,외국인전용 기초한국어,전체,3,교양선택,상대평가,수,7_12,5남534,장윤미
GEG2051-002,외국인전용 기초한국어,전체,3,교양선택,절대평가,수,13_18,60주년-712,장윤미
GEG2052-001,외국인전용 고급한국어,전체,3,교양선택,상대평가,목,7_12,5남515,정영진
