CSE3206-004,오퍼레이팅시스템,3,3,전공선택,상대평가,수-목,13_15-7_9,하-220 하-120,이영주
CSE3207-001,데이터베이스,3,3,전공선택,상대평가,화-목,13_15-13_15,하-222,유상봉
CSE3207-002,데이터베이스,3,3,전공선택,상대평가,화-목,16_18-16_18,하-222,유상봉
CSE3207-003,데이터베이스,3,3,전공선택,상대평가,화-목,1_3-1_3,하-001,최동완
CSE3207-004,데이터베이스,3,3,전공선택,상대평가,수-목,10_12-10_12,하-120,최동완
CSE3307-001,무선통신 및 네트워킹,3,3,전공선택,절대평가,화-목,19_22-7_10,하-120 하-324,노영태
CSE3307-002,무선통신 및 네트워킹,3,3,전공선택,절대평가,수-목,9_12-9_12,하-222 하-320,타메르
CSE3308-001,시스템분석,3,3,전공선택,상대평가,수-금,10_12-7_9,하-220 하-324,이종식
CSE3309-001,문제해결기법,3,4,전공선택,Pass/Fail,월-화,9_12-13_16,하-220 하-320,양대헌
CSE3309-002,문제해결기법,3,4,전공선택,Pass/Fail,월-화,13_16-17_20,하-220 하-322,양대헌
CSE3309-003,문제해결기법,3,4,전공선택,Pass/Fail,월-화,9_12-13_16,하-222 하-324,심정섭
CSE3309-004,문제해결기법,3,4,전공선택,Pass/Fail,월-화,13_16-17_20,하-222 하-324,박준석
CSE4202-001,컴퓨터 네트워크,4,3,전공선택,상대평가,화-수,4_7-4_7,하-001 하-324,권구인
CSE4202-002,컴퓨터 네트워크,4,3,전공선택,상대평가,화-수,13_16-9_12,하-001 하-324,권구인
CSE4204-001,알고리즘,4,3,전공선택,상대평가,화-목,4_6-4_6,하-222,심정섭
CSE4204-002,알고리즘,4,3,전공선택,상대평가,화-목,10_12-10_12,하-222,심정섭
CSE4204-003,알고리즘,4,3,전공선택,상대평가,수-금,13_15-4_6,하-222,김영호
CSE4205-001,컴퓨터공학 종합설계,4,3,전공필수,상대평가,화,17_22,하-320,이상철
CSE4205-002,컴퓨터공학 종합설계,4,3,전공필수,상대평가,수,16_21,하-220,노영태
CSE4205-003,컴퓨터공학 종합설계,4,3,전공필수,상대평가,금,16_21,하-320,한경숙
CSE4205-004,컴퓨터공학 종합설계,4,3,전공필수,상대평가,목,16_21,하-320,이종식
CSE4302-001,인공지능,4,3,전공선택,상대평가,금,10_15,하-121,박승보
CSE4305-001,생물의료정보학개론,4,3,전공선택,절대평가,수,16_21,하-320,한경숙
CSE4307-001,멀티미디어 컴퓨팅,4,3,전공선택,상대평가,화-목,13_15-10_12,하-220,이상철
CSE4312-001,컴파일러,4,3,전공선택,상대평가,화-목,1_3-4_6,하-220 하-001,박준석
CSE4314-001,데이터마이닝,4,3,전공선택,상대평가,월-화,13_15-16_18,하-120,이주홍
CSE4314-002,데이터마이닝,4,3,전공선택,상대평가,월-화,16_18-13_15,하-120,이주홍
MEG3165-003,자동제어,3,3,전공선택,절대평가,월-화,10_12-1_3,2북365,김기우
MEG3175-001,확률및통계,3,3,전공선택,상대평가,수,4_9,2북364,엄태원
MEG3175-002,확률및통계,3,3,전공선택,상대평가,목,7_12,60주년-711,엄태원
MEG3175-003,확률및통계,3,3,전공선택,상대평가,금,1_6,2북274,엄태원
MEG3185-001,기계공학일반설계 1,3,3,전공선택,절대평가,금,1_6,2북374A,정동수
MEG4080-002,기계공학종합설계,4,3,전공필수,Pass/Fail,목,19_24,2북370,이우식
MEG4080-003,기계공학종합설계,4,3,전공필수,Pass/Fail,월,19_24,2북365,조종두
MEG4080-004,기계공학종합설계,4,3,전공필수,Pass/Fail,화,16_21,2북374A,황병복
MEG4080-005,기계공학종합설계,4,3,전공필수,Pass/Fail,월,19_24,2북367,이상권
MEG4080-006,기계공학종합설계,4,3,전공필수,Pass/Fail,목,19_24,2북364,이은상
MEG4080-007,기계공학종합설계,4,3,전공필수,Pass/Fail,월,16_21,2북363A,김선민
MEG4080-008,기계공학종합설계,4,3,전공필수,Pass/Fail,월,19_24,2북370,김주형
MEG4103-001,구조역학,4,3,전공선택,상대평가,월-목,4_6-10_12,2북364,조종두
MEG4104-001,초소형기계시스템,4,3,전공선택,상대평가,화-목,7_9-10_12,2북365,강태준
MEG4112-001,CAD/CAM,4,3,전공선택,Pass/Fail,화,13_18,2북378A,이철희
MEG4112-002,CAD/CAM,4,3,전공선택,Pass/Fail,월,13_18,2북378A,신봉철
MEG4125-001,공조및냉동,4,3,전공선택,상대평가,화-목,1_3-13_15,2북367,정동수
MEG4129-001,발전플랜트 공학,4,3,전공선택,상대평가,월-수,13_15-13_15,2북365,김동섭
MEG4153-001,유압공학,4,3,전공선택,상대평가,화-목,1_3-10_12,2북274,이승배
